mbid	band	fame_lb_raw
0b1d85a1-d009-43a1-be65-139d1ac62d53	1	1403
0b1f739a-9683-437d-82bd-6f21138014bc	1	986
0b61bf88-7db1-4307-836a-8cd2b23ebfb7	1	1400
0b81bf13-c8f4-4852-95f0-86257b24d97b	1	582
0bac7675-f13b-4dda-9679-3a12532ddf81	0	95
0bbc4521-e5ac-4082-aa6c-fabfa606192d	3	9508
0bc172ab-4f17-4b2b-8705-0d2ca3ebecc2	2	1539
0bc7efef-33dd-4d83-8bd0-f9608b158157	3	4583
0bcd2a74-cf0b-4956-84ee-c9cdb1010cad	1	528
0bd9ff08-d360-4e34-9c2c-35f3896a1105	3	9300
0bdca973-c50a-448f-92eb-d5234e4d92d8	1	666
0c02772e-760b-40fa-a82a-296306681ead	0	505
0c0db39b-52c3-4b25-854c-4a44df6f3813	2	1679
0c1368b7-f911-4fc0-a68b-fd4fd3219f8e	0	128
0c2bc292-28ad-4863-b944-64a97ba1b975	2	2226
0c55617d-2e31-45c4-b364-6f882d3e3297	1	642
0c5c0ff2-bcde-401d-9d88-c9cff190d673	3	4054
0c708cbd-a8d6-4a4b-8fc4-04dc9ebd23b8	1	997
0c729287-2584-4d00-822b-11f9fadb86a1	2	3378
0c9f64a4-cf0a-4bbe-90a2-a947353e95ed	2	1627
0ca5a598-a6d4-4fa7-8285-a1dc2fbfe2c2	2	1836
0caf9760-a755-4f14-a0ac-f669991527ab	4	20478
0cb52727-1799-4a37-9f52-c690f6aa1f0c	3	4520
0cc4efd9-b2db-4428-a646-82f04d653d58	0	156
0cd7ff0b-21e2-468e-9652-abf211ddadcd	3	9467
0ce7fbf0-1107-4c4f-b117-5f0756cf90c4	2	3355
0d19e869-22f7-4273-8d91-844b445e8bf4	2	2970
0d27f48b-c8d7-464b-85e5-5a2b823436c9	3	8523
0d36c13c-eb19-4052-be39-c47965d45c65	2	1549
0d46a2b2-f85c-4271-8ade-2c33d5b2c56b	4	10115
0d48ac8c-fe03-4561-af68-757a0fb4fdc1	0	48
0d501a8e-e923-4885-8a50-4c6cb11265d6	4	11506
0d6e476b-cdad-45b7-9257-53459e40c1a8	0	368
0d78ae17-2caf-4c8e-b513-b68eb813825b	3	7191
0d92cfc7-bc7c-4ff1-95e3-3ea7a66ca126	3	9234
0d9ef6eb-574e-43e1-bcda-dd235e410305	2	2393
0da54e83-7bba-4ec9-b619-ee4442333ec6	1	890
0db09b12-1714-409e-8412-d5f30ab8fb41	0	495
0dbfd4da-d41f-4129-ba9a-19650c476362	0	202
0dd3a018-d88d-43b6-9e2f-38d104be14cf	2	2773
0dec6a68-6876-43d6-a190-b4d4920a8606	0	282
0df8708d-97c0-4107-958d-7a948c4f77bc	1	736
0df8c7e7-420a-41ec-8ca0-5dd2ccc56561	0	130
0e238155-174b-4c9f-8959-74c5d94bd284	3	8983
0e3a584b-a395-449d-b5db-87a79be561ad	1	1008
0e414c6c-fca0-420b-9bd9-197885d243bd	0	185
0e54eb00-64d9-4d69-b6e3-c601f8da0648	0	405
0e615ed9-57b7-422c-a920-f6fa55ea6c0f	2	3075
0e669587-4f57-4c7b-9aa1-793324d6c380	1	847
0e6b3a2c-6a42-4b43-a4f6-c6625c5855de	4	88018
0e84b561-5a1b-460d-bd14-35dad2abcc08	2	3326
0e9e5775-1423-419e-b44a-e1757b7479ce	2	2533
0eaa99c2-26ed-40e0-a3c0-06a86b0b6d4a	2	2155
0eba2a81-4040-4a8f-923f-19a3aa2256dd	3	6085
0ebdeda5-1ee9-4f22-8b5b-8c44ae9dc08a	3	6073
0ec95aa0-d79b-4d02-946c-bf8867f7e054	3	3940
0ede997e-49e6-4279-a165-25d7d1e31b0f	0	518
0ee4273c-fdec-4c0a-8e3f-077eeb58431c	2	1842
0eeab22e-9272-4ebd-8be1-2eb05505aeda	0	504
0f1a82ef-f333-445c-86c6-40feede77748	3	6560
0f22c37a-9aab-4568-a26a-40d0cb0e500f	2	2352
0f3f7357-73d3-42a3-81a5-b359bc4e8a56	1	1133
0f6d15ce-b12c-4c59-a021-f4e059a5e9e4	1	853
0fbf1500-a8bd-4db2-b372-86d195c69682	1	918
0fc6441d-ee08-4088-8a70-1d6ed2ad5a35	4	16653
0fe5df51-ba65-4784-ba85-7d024a107a8a	3	6911
0fff8ab2-c500-4564-b4f1-f4da7642d986	3	8931
100b8734-f4f0-4536-9960-47f7c59d1b4c	4	11231
1015b5e3-8e3d-4d78-806a-c530cf742e66	4	28155
10366723-6909-4dae-8d8a-eda3fa1f2f6d	1	1185
1042b654-4ab2-4230-938b-69492869f447	2	1788
1043a3a9-6722-4cdb-a28a-6acbad217b38	4	63577
10482dc8-3c52-4d77-a618-dde6f31f3002	0	424
10507b30-26fb-420e-b79a-3ff6a3b270cf	2	3123
107690d0-7313-46ee-841c-208ab55afe64	3	5186
10785ade-5015-4e7e-a3ec-eb5c89615d62	3	8421
1087a691-35da-4450-b6bd-5d18d4304b97	3	6832
1092ae23-d118-420a-a570-719aa2dc86c9	4	24874
10b0d736-7f70-4333-babe-e4ff7b7b55fe	1	597
10b2a4bf-de8f-4652-ae14-294b57fc1dba	2	2113
10c0f42c-356c-47d0-9f6e-65ec69cedf48	1	663
1119ed92-2d79-4145-bace-d91418d2bc34	0	192
